lulc_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,swir22_swir16,mci,ndci,nbi,ndmi,bsi,awei,tc_wetness,y,x
5,0.5859,0.5971000000000001,0.5806,0.6032000000000001,0.08767529,1.5938282e-08,2.0028785e-06,0.6082000000000001,0.5093,0.6194000000000001,0.5664,0.3875,0.6334000000000001,0.604,0.6129,-0.013250449860952062,-0.00508206281762892,-0.19946286540646627,-0.009467455621301859,1.0659090909090907,-0.009467455621301859,0.01454881843410991,0.9625331564986737,0.9723664377826159,0.9144333225702291,0.9250078939059045,0.029500203169443313,0.02779391022981837,-0.02779391022981837,-0.0012875536480687184,0.42225000000000046,0.1741199700000001,-1543795.0,4251725.0
5,0.4178,0.4419,0.4672,0.45570000000000005,0.22546858,1.4609098e-07,7.927856e-06,0.4066,0.3904,0.46640000000000004,0.46630000000000005,0.14500000000000002,0.3527,0.3965,0.41250000000000003,-0.011603947511115915,-0.015374331550802176,-0.5262985952303167,-0.028033034779574282,1.0661712668082088,-0.028033034779574282,0.04338866628506015,1.0252359008119376,1.0572527721203893,0.9997855917667239,1.1845761270201305,-0.11225773974326705,0.05496494005881025,-0.05496494005881025,0.012937764889582929,0.396725,0.036713120000000016,-1544315.0,4250775.0
5,0.3451,0.1273,0.13540000000000002,0.10210000000000001,0.06835226,1.778841e-07,3.3188785e-06,0.3477,0.2732,0.16820000000000002,0.464,0.0971,0.32,0.3791,0.3849,-0.2445431002589715,0.10985178727114206,-0.16473118279569895,0.46104995766299744,0.6726266691055425,0.46104995766299744,-0.543381037567084,1.32615083251714,1.0636292223095052,2.758620689655172,1.0784375,0.4308070646098815,-0.34463276836158185,0.34463276836158185,0.1033774958014555,-0.2633000000000001,-0.09050719000000004,-1544175.0,4250865.0
5,0.2732,0.11850000000000001,0.17250000000000001,0.1348,0.08236941,1.7453432e-07,4.613605e-06,0.2939,0.2795,0.2119,0.24280000000000002,0.0884,0.15760000000000002,0.2447,0.274,-0.22238246322468994,-0.06435057244374257,-0.32234572633192793,0.39494511105437835,0.817582735896879,0.39494511105437835,-0.33921568627450976,1.2796735905044512,1.4556962025316456,1.1458235016517226,1.7335025380710658,0.14161535675479903,-0.1263656977942692,0.1263656977942692,-0.10458488228004954,-0.15744999999999987,-0.06452399000000002,-1544145.0,4250025.0
5,0.3521,0.385,0.40850000000000003,0.4062,0.35088086,9.2592835e-08,1.1055483e-05,0.42860000000000004,0.38970000000000005,0.6096,0.6961,0.2741,0.48900000000000005,0.4661,0.4549,-0.20023626698168934,-0.026794742163801816,-0.19689422795194844,-0.044634377967711275,0.827692821926966,-0.044634377967711275,0.07134379533166291,1.0056622353520435,1.061038961038961,1.1418963254593175,0.720040899795501,0.11899313501144168,0.26775501715711764,-0.26775501715711764,0.17402399956561876,0.15547500000000025,-0.09727388999999989,-1544225.0,4251645.0
5,0.275,0.2652,0.2089,0.22060000000000002,0.07173902,1.1619329e-07,3.0881442e-06,0.2857,0.3027,0.4163,0.40190000000000003,0.0818,0.2974,0.3074,0.30810000000000004,-0.30726958706233315,0.09180732811856726,-0.4372205022359821,0.018141429100333267,0.3249836469275463,0.018141429100333267,-0.10976594027441484,0.9469628286491386,0.7877073906485672,0.9654095604131636,0.9246805648957633,0.057234269463206554,0.2043975119340373,-0.2043975119340373,0.1591659426585578,-0.17607499999999998,-0.07951670999999996,-1544735.0,4249895.0
5,0.2733,0.0857,0.27140000000000003,0.098,0.0913447,1.8014907e-07,4.3587916e-06,0.3548,0.3204,0.4279,0.439,0.1421,0.0887,0.1078,0.1837,-0.627305571401407,-0.0669569951007077,-0.31269649334945593,0.5225626740947075,-2.4094758064516104,0.5225626740947075,-0.4721249663345004,2.769387755102041,3.166861143523921,1.0259406403365272,3.0811724915445318,0.017201834862385336,0.22047917855105534,-0.22047917855105534,-0.018702075930428295,-0.4256500000000001,-0.32941082999999993,-1543785.0,4251215.0
5,0.12480000000000001,0.08020000000000001,0.0935,0.0854,0.06572893,5.070567e-07,6.850592e-06,0.1384,0.14,0.23,0.14780000000000001,0.0965,0.0959,0.11610000000000001,0.1282,-0.4584654407102093,-0.03140096618357485,0.01578947368421054,0.2175609756097561,0.2562033710969881,0.2175609756097561,-0.18744053282588014,1.094847775175644,1.1658354114713216,0.6426086956521739,1.3013555787278417,0.08915388983532078,0.2965050732807215,-0.2965050732807215,0.02173425946672651,-0.18824999999999997,-0.07128197,-1545625.0,4251485.0
5,0.09920000000000001,0.0755,0.0852,0.07880000000000001,0.0433752,1.5879273e-07,4.575029e-06,0.1326,0.1898,0.196,0.1227,0.0742,0.08650000000000001,0.1096,0.1222,-0.4264919941775836,-0.021386908619572337,-0.06900878293601002,0.13566113337149405,0.18889618922470439,0.13566113337149405,-0.1146067415730337,1.081218274111675,1.128476821192053,0.6260204081632653,1.146820809248555,0.06790123456790129,0.3279132791327913,-0.3279132791327913,0.03606900156821741,-0.129925,-0.05227,-1545735.0,4251635.0
5,0.1231,0.0786,0.0966,0.0868,0.06177843,3.0656457e-07,6.294785e-06,0.1345,0.1411,0.2467,0.15360000000000001,0.0965,0.09330000000000001,0.11280000000000001,0.124,-0.4794602698650674,-0.049576783555018135,-0.0005178663904712732,0.22062469013386218,0.2633302689037003,0.22062469013386218,-0.1729394949976179,1.1129032258064517,1.2290076335877862,0.6226185650587759,1.3193997856377278,0.08551483420593371,0.3342347214710654,-0.3342347214710654,0.027660986944014185,-0.2027,-0.08214534999999999,-1545755.0,4251495.0
